District,No..of.Positive.Cases,No..of.Recoveries,Deaths,Vaccinations
ALAPPUZHA,0.000244733,0.007845999,0.006264933,0.020360474
Ernakulam,0.000139848,0.007863259,0.006264933,0.020360474
IDUKKI,5.24428E-05,0.00791504,0.006264933,0.020360474
Kannur,0.000681757,0.008139422,0.006264933,0.020360474
Kasaragod,0.00055939,0.007984081,0.006264933,0.020360474
Kollam,0.000227252,0.00791504,0.006264933,0.020360474
Kottayam,0.000139848,0.00794956,0.006264933,0.020360474
Kozhikode,0.000244733,0.00789778,0.006264933,0.020360474
Malappuram,0.000437023,0.00794956,0.006264933,0.020360474
Palakkad,0.000804123,0.007845999,0.006264933,0.020360474
Pathanamthitta,0.000174809,0.007845999,0.006264933,0.020360474
Thiruvanathapuram,0.000262214,0.007845999,0.006264933,0.020360474
Thrissur,0.000297176,0.007863259,0.006264933,0.020360474
Wayanad,0.000157328,0.0079323,0.006264933,0.020360474
